restaurant_id,name,scraped_city,confidence,matched_keyword,source,search_query,source_text,error
5942,Gyu-Ya Yakiniku The Street Ratchada,Bangkok,medium,Ratchada,restaurant_name,,Gyu-Ya Yakiniku The Street Ratchada,
5943,Gyu-Ya Yakiniku True Digital Park (West Side),Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," ร้านกิวย่า ยากินิคุ ชั้น 1 ตึกทรู ดิจิทัล พาร์ค (ฝั่งเวสต์ Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand Gyu-Ya Yakiniku at True Digital Park West",
6248,GyuBei Yakiniku,Singapore,high,Singapore,places_api_existing_output,,"Singapore 100 Tras St, #03-10/11 100AM Mall, Singapore 079027 【焼肉】牛兵衛 Yakiniku Gyubei",
4641,Ginger Farm Kitchen Wooden House,,error,,google_places_api,Ginger Farm Kitchen Wooden House restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5061,Gyunobi Yakiniku,Nonthaburi,high,Nonthaburi,places_api_existing_output,,"ตำบลคลองเกลือ 58/91 ซอยแจ้งวัฒนะ-ปากเกร็ด 33 ถนนแจ้งวัฒนะ ตำบลคลองเกลือ Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand Gyunobi",
3791,Galley Bar & Restaurant,,error,,google_places_api,Galley Bar & Restaurant restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
6556,HAJI land,Singapore,high,Singapore,places_api_existing_output,,"Singapore Haji Ln, Singapore Haji Lane",
6314,HAN ROLL BKK,Bangkok,medium,bkk,restaurant_name,,HAN ROLL BKK,
5715,HANJI Taiwanese Hot Pot Sala Daeng,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 38 Prompak Alley, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand HANJI Authentic Taiwanese Hot Pot",
5714,HANJI Taiwanese Hot Pot Thonglor,Bangkok,medium,Thonglor,restaurant_name,,HANJI Taiwanese Hot Pot Thonglor,
5546,HEY Mookrata - Charoen Nakhon,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 240, 1 Soi Pho Suwan, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand HEY Mookrata",
4576,HOUSE of TANGO,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 868 Soi Pradu 44, Khwaeng Bang Khlo, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand House of Tango",
4985,HUA SENG HONG Central Plaza Chaengwattana,Nonthaburi,medium,chaengwattana,restaurant_name,,HUA SENG HONG Central Plaza Chaengwattana,
4984,HUA SENG HONG The Mall Lifestore Bangkapi,Bangkok,medium,bangkapi,restaurant_name,,HUA SENG HONG The Mall Lifestore Bangkapi,
5030,HUI Suki Block 28,Bangkok,medium,block 28,restaurant_name,,HUI Suki Block 28,
5029,HUI Suki Ratchaphruek,Nonthaburi,medium,ratchaphruek,restaurant_name,,HUI Suki Ratchaphruek,
3473,Habitat Hotel Staycation (Hua Hin),Hua Hin,high,Hua Hin,restaurant_name,,Habitat Hotel Staycation (Hua Hin),
5561,Hachi Hachi Omakase,Singapore,high,Singapore,places_api_existing_output,,"Singapore 10 Hoe Chiang Rd, #01-07 Keppel South Central, Singapore 089315 Hachi Restaurant",
3674,Hagi Centara Grand at Central Plaza Ladprao Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hagi Centara Grand at Central Plaza Ladprao Bangkok,
4667,Hagi at Centara Grand Beach Resort & Villas (Hua Hin),Hua Hin,high,Hua Hin,restaurant_name,,Hagi at Centara Grand Beach Resort & Villas (Hua Hin),
4823,Hagow Yaowarat,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 387 Yaowarat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand HAGOW Yaowarat",
5457,Hai Tien Lo at Pan Pacific Hotel Singapore,Singapore,high,Singapore,restaurant_name,,Hai Tien Lo at Pan Pacific Hotel Singapore,
3709,Hainanese Chicken Rice C.P Tower Silom,Bangkok,medium,Silom,restaurant_name,,Hainanese Chicken Rice C.P Tower Silom,
4909,Gongjin,,error,,google_places_api,Gongjin restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
3668,Hanbab Korean Restaurant,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 171 6 Thanon Pradiphat, พญาไท Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand Hanbab Korean Restaurant",
4109,Hangetsu Omakase,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 267 โครงการ Vibes 26 Thanon Ekkamai, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand Hangetsu Omakase",
5607,Hanjip Korean Grill House,Singapore,high,Singapore,places_api_existing_output,,"Singapore 3C River Valley Rd, #01 - 11 Clarke Quay, Singapore 179022 Hanjip Korean Grill House",
3494,Hannari Cafe de Kyoto Thonglor,Bangkok,medium,Thonglor,restaurant_name,,Hannari Cafe de Kyoto Thonglor,
6319,Gongxi Mala,,error,,google_places_api,Gongxi Mala restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5421,Hao Chi Kitchen At Cassia Rama 9,Bangkok,medium,Rama 9,restaurant_name,,Hao Chi Kitchen At Cassia Rama 9,
6236,Happening Dine and Bar,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 389 Si Lom Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand Happening",
5329,Happy Tummy Seafood Bar (Pattaya),Pattaya,high,Pattaya,restaurant_name,,Happy Tummy Seafood Bar (Pattaya),
5565,Haps - Brunch & More,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 46/9 Sukhumvit 49, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand haps - Brunch & More",
4712,Hard Rock Cafe Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hard Rock Cafe Bangkok,
4275,Hard Rock Cafe at Hard Rock Hotel (Pattaya),Pattaya,high,Pattaya,restaurant_name,,Hard Rock Cafe at Hard Rock Hotel (Pattaya),
6457,Harudot by Nana Coffee Roasters (Chonburi),Chonburi,high,Chonburi,restaurant_name,,Harudot by Nana Coffee Roasters (Chonburi),
4383,Hashiri at The Athenee Hotel,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand The Athenee Hotel, a Luxury Collection Hotel, Bangkok",
3837,Haute House The Idle Hotel & Residence,Pathum Thani,high,Pathum Thani,places_api_existing_output,,"Tambon Khlong Nung 58/851 หมู่ที่ 13 58, 852, Tambon Khlong Nung, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand The Idle Hotel & Residence",
4931,Hei Hotpot Chokchai 4,Bangkok,medium,chokchai 4,restaurant_name,,Hei Hotpot Chokchai 4,
4532,Heights At BKK,Bangkok,medium,bkk,restaurant_name,,Heights At BKK,
3017,HAHAMALA Chinese restaurant,,error,,google_places_api,HAHAMALA Chinese restaurant restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5073,Gyuder,,error,,google_places_api,Gyuder restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5883,Heng Heng Lao Suthisan,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 1139 QHRF+2CR, 1 Thanon Sutthisan Winitchai, Ratchadaphisek, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand เฮงเฮงเหลา สาขาสุทธิสาร",
4991,Grilled Station,,error,,google_places_api,Grilled Station restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
979,Hi So Rooftop Bar So/ Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hi So Rooftop Bar So/ Bangkok,
6155,HiBuddy BBQ 烤肉研究所,Singapore,high,Singapore,places_api_existing_output,,"Singapore 68 Tg Pagar Rd, Singapore 088489 HiBuddy BBQ 烤肉研究所",
6068,Hiateeyai @ Naret,Bangkok,medium,naret,restaurant_name,,Hiateeyai @ Naret,
6067,Hiateeyai @ Samyan,Bangkok,medium,samyan,restaurant_name,,Hiateeyai @ Samyan,
6859,Hidden House Cafe & Bistro (Samut Sakhon),Samut Sakhon,high,Samut Sakhon,restaurant_name,,Hidden House Cafe & Bistro (Samut Sakhon),
3280,Hanyang Korean Restaurant,,error,,google_places_api,Hanyang Korean Restaurant restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
3767,High River Café (Ratchaburi),Ratchaburi,high,Ratchaburi,restaurant_name,,High River Café (Ratchaburi),
3234,High Tea by Pickaboo,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 44 Sukhumvit 21 Rd, North, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand High Tea by Pickaboo",
6060,HighHouse,Singapore,high,Singapore,places_api_existing_output,,"Singapore 1 Raffles Pl, L61-62, Singapore 048616 HighHouse",
3964,Hiro Omakase The Promenade,Bangkok,medium,promenade,restaurant_name,,Hiro Omakase The Promenade,
5854,Hiroki Sushi Klong 2,Pathum Thani,medium,klong 2,restaurant_name,,Hiroki Sushi Klong 2,
5856,Hiroki Sushi Rangsit,Pathum Thani,medium,rangsit,restaurant_name,,Hiroki Sushi Rangsit,
3173,Hishou Hotel Nikko Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hishou Hotel Nikko Bangkok,
5586,"Hmmmm, Grilled Pork - BTS Bearing",Samut Prakan,medium,bearing,restaurant_name,,"Hmmmm, Grilled Pork - BTS Bearing",
5612,"Hmmmm, Grilled Pork Udomsuk",Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 653 Thanon Udom Suk, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand หื้มมม… หมูกระทะ สาขาอุดมสุขวอล์ค",
6571,Ho Kitchen Rama 3,Bangkok,medium,Rama 3,restaurant_name,,Ho Kitchen Rama 3,
5893,Hogar bar,Nonthaburi,high,Nonthaburi,places_api_existing_output,,"Amphoe Pak Kret 34/52 Tambon Khlong Klua, Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand Hogar Bar",
5910,Hokkaido Yakidon,Bangkok,high,กรุงเทพมหานคร,places_api_existing_output,," Baan Kampu Asoke 2nd floor, ชั้น 2, โครงการบ้านก้ามปู อโศก, 68 ซอย สุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand Hokkaido Yakidon Baan Kampu Asoke",
4432,Holli Bolli Rooftop Bar @ Radisson Suites Bangkok Sukhumvit,Bangkok,high,Bangkok,restaurant_name,,Holli Bolli Rooftop Bar @ Radisson Suites Bangkok Sukhumvit,
2243,Hajime Robot restaurant,,error,,google_places_api,Hajime Robot restaurant restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
6232,Hom Duan,Bangkok,high,กรุงเทพมหานคร,places_api_existing_output,," klongtannuea (BTS, ถนน เอกมัย แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand Hom Duan",
5606,Home Dawn Cafe,Singapore,high,Singapore,places_api_existing_output,,"Singapore Blk 3A River Valley Rd, #02-03, Singapore 179020 Home Dawn Cafe @ Clarke Quay",
5648,Home Dusk: Live House,Singapore,high,Singapore,places_api_existing_output,,"Singapore Blk 3A River Valley Rd, #02-03, Singapore 179020 Home Dusk Live House @ Clarke Quay",
3365,Helena Greek Kitchen,,error,,google_places_api,Helena Greek Kitchen restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5800,Homie Bar & Restaurant,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 981 ชั้นที่ 1 Si Lom Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand Homie Bar & Restaurant",
1801,Hong Kong Fisherman,Nonthaburi,high,Nonthaburi,places_api_existing_output,,"Amphoe Pak Kret IMPACT Exhibition Center Building Hall 12 Popular 1 Rd, Tambon Ban Mai, Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand Hong Kong Fisherman",
1878,Hong Teh Chinese Restaurant,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 171 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand Hong Teh Restaurant",
6609,Hongfu 鸿福,Singapore,high,Singapore,places_api_existing_output,,"Singapore 1 Selegie Rd, Singapore 188306 鸿福记 Hong Fu Ji Handmade Ramen",
741,Hongmin Big C Ladprao,Bangkok,medium,big c ladprao,restaurant_name,,Hongmin Big C Ladprao,
694,Hongmin Central Bangna,Bangkok,medium,Bangna,restaurant_name,,Hongmin Central Bangna,
744,Hongmin Central Pinklao,Bangkok,medium,pinklao,restaurant_name,,Hongmin Central Pinklao,
743,Hongmin Fashion Island,Bangkok,medium,fashion island,restaurant_name,,Hongmin Fashion Island,
742,Hongmin Future Park Rangsit,Pathum Thani,medium,future park rangsit,restaurant_name,,Hongmin Future Park Rangsit,
740,Hongmin MBK Center,Bangkok,medium,mbk center,restaurant_name,,Hongmin MBK Center,
745,Hongmin Mega Bangna,Bangkok,medium,Bangna,restaurant_name,,Hongmin Mega Bangna,
746,Hongmin The Paseo Kanchanaphisek,Bangkok,medium,kanchanaphisek,restaurant_name,,Hongmin The Paseo Kanchanaphisek,
6158,Honomi Shabu & Omakase,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 999/1-4 Rama IX Rd, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand Honomi Shabu & Omakase (Halal)",
6592,Hooligan by Apache,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 456 Thanon PhutthaMonthon Sai 2, Khwaeng Bang Phai, Khet Bang Khae, Krung Thep Maha Nakhon 10160, Thailand Hooligan by Apache",
6729,Horizon Grill At Banyan Tree Kuala Lumpur,Kuala Lumpur,high,Kuala Lumpur,restaurant_name,,Horizon Grill At Banyan Tree Kuala Lumpur,
5939,Hotaru 119 Omakase & Izakaya - Sanampao,Bangkok,medium,sanampao,restaurant_name,,Hotaru 119 Omakase & Izakaya - Sanampao,
5940,Hotaru 119 Omakase - Rama 9,Bangkok,medium,Rama 9,restaurant_name,,Hotaru 119 Omakase - Rama 9,
3622,Hotel Clover Asok Staycation,Bangkok,medium,Asok,restaurant_name,,Hotel Clover Asok Staycation,
3972,Hotel Once Bangkok (Staycation),Bangkok,high,Bangkok,restaurant_name,,Hotel Once Bangkok (Staycation),
4411,Hou Yuu QSNCC,Bangkok,medium,qsncc,restaurant_name,,Hou Yuu QSNCC,
5402,House of Chandra Central Nakhon Pathom,Nakhon Pathom,high,Nakhon Pathom,restaurant_name,,House of Chandra Central Nakhon Pathom,
5401,House of Chandra Nakhon Pathom,Nakhon Pathom,high,Nakhon Pathom,restaurant_name,,House of Chandra Nakhon Pathom,
4726,House of Kin Centara Ayutthaya (Ayutthaya),Ayutthaya,high,Ayutthaya,restaurant_name,,House of Kin Centara Ayutthaya (Ayutthaya),
3913,House of Kin KORAT Centara Korat (Nakhon Ratchasima),Nakhon Ratchasima,high,Nakhon Ratchasima,restaurant_name,,House of Kin KORAT Centara Korat (Nakhon Ratchasima),
4704,Hoy Mahachon,Singapore,high,Singapore,places_api_existing_output,,"Singapore 158 Kallang Wy, Singapore 349245 House of Fish Head",
4337,Hua Restaurant Grande Centre Point Surawong,Bangkok,medium,grande centre point surawong,restaurant_name,,Hua Restaurant Grande Centre Point Surawong,
4695,Huajai Siam Square One,Bangkok,medium,Siam,restaurant_name,,Huajai Siam Square One,
5624,Huaron Mookrata,Singapore,high,Singapore,places_api_existing_output,,"Singapore 534 MacPherson Rd, Singapore 368220 Aroy Mak Mookata Thai BBQ Steamboat",
4080,Hub Namthong at Benjarong Hotel Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hub Namthong at Benjarong Hotel Bangkok,
6693,Hug Samui,Surat Thani,high,Surat Thani,places_api_existing_output,,"Ko Samui District Mae Nam, Ko Samui District, Surat Thani 84330, Thailand Hug Samui",
3827,Hummus Boutique,Bangkok,high,กรุงเทพมหานคร,places_api_existing_output,," NO.64 Sukhumvit 51 Klongtan Nua Sub-district, แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand Hummus Boutique Restaurant Bangkok",
4929,Hump zaabb,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 215 217 Thanon Fueang Nakhon, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand Hump zaab Beef&friends restaurant",
5719,Hunger Bear (Nakhon Sawan),Nakhon Sawan,high,Nakhon Sawan,restaurant_name,,Hunger Bear (Nakhon Sawan),
6651,Hungry Brown Eat and Coffee Roasters,Bangkok,high,กรุงเทพมหานคร,places_api_existing_output,," 5/36 ซ.พหลโยธิน 3, ซอย ริมคลองสามเสน พญาไท, เขตพญาไท กรุงเทพมหานคร 10400, Thailand Hungry Brown Eat and Coffee Roasters",
3381,Huolong Chinese Mala HotPot & Grill,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," ซอย อินทราวาส 35 Khwaeng Bang Ramat, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand HUOLONG Chinese Mala HotPot & Grill",
3904,Hyde & Seek Athenee Tower,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," Thanon Witthayu, Khwaeng Lumphini, ปทุมวัน Krung Thep Maha Nakhon 10330, Thailand Hyde & Seek",
5525,Hyde & Seek One Bangkok,Bangkok,high,Bangkok,restaurant_name,,Hyde & Seek One Bangkok,
3903,Hyde & Seek Silom Edge,Bangkok,medium,Silom,restaurant_name,,Hyde & Seek Silom Edge,
4565,IDYLL Bistro Rama 3,Bangkok,medium,Rama 3,restaurant_name,,IDYLL Bistro Rama 3,
