rank,name,restaurant_id,segment,has_marketing,priority_score,priority_tier,recommended_channel,growth_component,booking_demand,ga4_demand,internal_mkt_campaign_responsiveness,campaign_responsiveness,score_growth_norm,delta_growth_norm,booking_volume_norm,revenue_per_booking_norm,booking_consistency_norm,listing_pull_raw,months_cnt,listing_pull_norm,view_to_cart_rate,cart_to_purchase_rate,funnel_depth_raw,funnel_depth_norm,n_campaigns,avg_lift_per_day,avg_roi,n_positive_lift,n_negative_lift,channels_used,best_channel,lift_norm,roi_norm,avg_gmv_per_view,n_months_gmv,ga_campaign_responsiveness,risk_thin_ga_demand_data,risk_inverse_attribution_rs,risk_thin_gmv_data,risk_low_gmv_per_view,is_seasonal,booking_growth_rolling,booking_growth_mom_rolling,booking_growth_yoy_rolling,score_growth_mom,score_growth_yoy
1155,Fairy Garden BKK,5799,Rising Stars,True,29.56120382822845,🟡 Activate — review channel strategy,CRM,0.5164199884607397,0.11032937440640435,0.05198593486402429,0.0,0.1240343347639485,0.7308883593602755,0.19471743211143594,0.009009009009009009,0.05976212140907318,0.29599044793359597,1383.44,12.0,0.07929753241284741,0.013444746429191003,0.3118279569892473,0.19247467276522479,0.024674337315201158,1.0,-1.0,,0.0,1.0,CRM,CRM,0.0,0.0,12.499096851740358,10.0,0.31008583690987124,False,False,False,False,False,0.9878917378917379,0.9878917378917379,,0.5964602151875069,
1156,Flashback Rooftop Bar,3941,Needs Attention,False,29.560387637966585,"🟠 Activate — untapped, no prior spend",CRM,0.2786359278263018,0.2547119774037701,0.014762581138524196,0.0,0.15343347639484978,0.35687420825839355,0.16127850717816425,0.0,0.10517136791022141,0.7438685567690122,467.48275862068965,27.0,0.02679568987753098,0.048166998598509994,0.09341500765696784,0.0753158040335847,0.009655127748454685,,,,,,,,0.0,0.0,6.7428670834625475,8.0,0.15343347639484978,False,True,False,False,False,-0.05555555555555558,-0.05555555555555558,,0.2912363623344386,
1157,Arno's Silom Serene Hotel,3209,Established Players,False,29.55994137636545,"🟠 Activate — untapped, no prior spend",CRM,0.2828743293630668,0.22410452453548435,0.021762063323079305,0.0,0.34334763948497854,0.26484818947894384,0.30991353918925124,0.009009009009009009,0.039061484466398025,0.6959415853065378,334.2903225806452,27.0,0.019161219633767948,0.07575026536717167,0.2662420382165605,0.19004532907680496,0.02436290701239066,,,,,,,,0.0,0.0,13.596207184107328,12.0,0.34334763948497854,False,False,False,False,False,-0.005698005698005715,-0.005698005698005715,,0.21613616644120595,
1158,Gravity 87 Rooftop Lounge At Ramada Bangkok Sukhumvit 87,5524,Established Players,True,29.557372861143484,🔴 Activate — proven marketing response,CRM,0.44254095914947167,0.22710738571133723,0.06359567693060847,0.0075,0.047990701001430616,0.38723122094822676,0.5255055664513391,0.06456456456456457,0.0312732649516089,0.6396652680000958,2011.54,14.0,0.11529965762862074,0.05593724211300794,0.1173124777817277,0.0927623835142398,0.011891696232596187,2.0,0.25,,1.0,1.0,CRM,CRM,0.0125,0.0,5.075436891293954,12.0,0.10872675250357654,False,False,False,False,False,0.22261072261072265,0.22261072261072265,,0.316009982121291,
1159,KIN Steak,5600,Needs Attention,False,29.55435344709426,"🟠 Activate — untapped, no prior spend",CRM,0.31163960308185723,0.20508841587486445,0.023852814636992903,0.0,0.25858369098712447,0.308991333889637,0.3156120068701875,0.0015015015015015015,0.013876251137397634,0.6677497997768153,118.92857142857143,14.0,0.006816878395644756,0.03423423423423423,0.5087719298245614,0.31895685158843057,0.04088875087834105,,,,,,,,0.0,0.0,10.650858385504453,7.0,0.25858369098712447,False,False,False,False,False,0.2222222222222222,0.2222222222222222,,0.252160313052736,
1160,Tongnorth Express Sai Mai,5589,Needs Attention,False,29.466768487553107,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.22505332486121027,0.035837437941542025,0.0,0.18426323319027182,0.28208213019024503,0.3156120068701875,0.0,0.02145890203215044,0.7287188475052172,68.85714285714286,14.0,0.003946829293334261,0.008298755186721992,0.875,0.5283195020746888,0.06772804658974979,,,,,,,,0.0,0.0,9.623635440467122,2.0,0.23032904148783978,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
1161,Tairyo Sushi - Market Village Rangsit,6409,Needs Attention,False,29.45555953664861,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.1679969491869811,0.007206280451140651,0.0,0.7256080114449214,0.28208213019024503,0.3156120068701875,0.0,0.13546405823475888,0.4245257723885116,43.888888888888886,8.0,0.0025156715067010675,0.017721518987341773,0.14285714285714285,0.09280289330922241,0.011896889395580234,,,,,,,,0.0,0.0,63.10526315789474,1.0,0.9070100143061517,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
1162,Benjarong Bangkok at Baan Dusit Thani,4518,Established Players,True,29.43782335323826,🔴 Activate — proven marketing response,CRM,0.282649036270421,0.2552707052042713,0.027699679077978184,0.015,0.27881402002861233,0.3135880652887941,0.23624049274286124,0.013513513513513514,0.13523657870791628,0.69764775395497,616.3793103448276,25.0,0.035330305861242625,0.08005594405594406,0.20754716981132076,0.15655067950917007,0.020069052294713747,1.0,0.5,,1.0,0.0,CRM,CRM,0.025,0.0,29.23948388484892,13.0,0.6745350500715308,False,False,False,False,False,-0.004329004329004331,-0.004329004329004331,,0.25591159375708356,
1163,Goodie Steak @ Fai Chai – Phran Nok,6383,Needs Attention,False,29.396632833083657,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.23142275161280262,0.01991457602350522,0.0,0.1748211731044349,0.28208213019024503,0.3156120068701875,0.0,0.042690324537458295,0.7287188475052172,66.375,8.0,0.00380455510459633,0.02071563088512241,0.45454545454545453,0.28101352508132166,0.036024596942414104,,,,,,,,0.0,0.0,9.279411764705882,2.0,0.21852646638054363,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
1164,Kwann at Nysa Hotel Bangkok,4989,Established Players,True,29.394162317625987,🟡 Activate — review channel strategy,CRM,0.222495471062159,0.2395859972972337,0.03861090757966288,0.0,0.38068669527897,0.18868234587404736,0.2732151588443264,0.04354354354354354,0.12027348094227076,0.6202884519904502,837.6296296296297,19.0,0.0480121745110138,0.0929430491687301,0.31779257849666986,0.22785276676549396,0.029209640648311965,5.0,-0.24000000000000005,,3.0,2.0,KOL,KOL,0.0,0.0,86.7644466941782,13.0,0.9517167381974249,False,False,False,False,False,-0.18093434343434334,-0.18093434343434334,,0.153979073795377,
1165,The Deck Bangkok,6318,Needs Attention,False,29.297026833475144,"🟠 Activate — untapped, no prior spend",CRM,0.29311914556110025,0.22290389498430974,0.012717834455820603,0.0,0.27467811158798283,0.31927950460624827,0.25387860699337816,0.0,0.05785562632696391,0.6851573569540685,245.0,9.0,0.014043178917154063,0.044897959183673466,0.11818181818181818,0.0888682745825603,0.011392489994487142,,,,,,,,0.0,0.0,11.132270104352544,4.0,0.27467811158798283,False,False,False,False,False,0.27777777777777773,0.27777777777777773,,0.2605562389707337,
1166,Ralph House,6667,Needs Attention,False,29.283600300022684,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.22454842961109214,0.034790359627826624,0.0,0.17510729613733908,0.28208213019024503,0.3156120068701875,0.003003003003003003,0.015771913861085837,0.7287188475052173,176.28571428571428,6.0,0.010104538066337092,0.017017828200972446,0.7619047619047619,0.46394998842324603,0.059476181189316156,,,,,,,,0.0,0.0,9.299065420560748,2.0,0.21888412017167383,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
1167,Krua Khun Ein Rama 3,5662,Needs Attention,False,29.271132392534533,"🟠 Activate — untapped, no prior spend",CRM,0.2439688210493065,0.21761130138123672,0.04172617167136633,0.0,0.6208869814020028,0.22707339710712388,0.2693119569625805,0.0,0.05141037306642402,0.6739606315376984,122.46153846153847,13.0,0.007019384877899299,0.038944723618090454,0.967741935483871,0.5962230507375588,0.07643295846483336,,,,,,,,0.0,0.0,26.042486968427234,10.0,0.6208869814020028,False,False,False,False,False,-0.13888888888888892,-0.13888888888888892,,0.18530907705305372,
