restaurant name,cluster,theme,x,y,cluster_confidence,review_count
Tanuki Izakaya,0,Bar & Alcoholic Drinks,7.362917,-0.5943628,1.0,1
Temmor Shabu,0,Bar & Alcoholic Drinks,6.800305,-1.4926386,1.0,1
Tenyuu Grand Omakase,0,Bar & Alcoholic Drinks,8.831182,0.37289807,1.0,1
The Kinopolis,0,Bar & Alcoholic Drinks,3.1583366,3.601983,1.0,1
Thong Nua Kao Premium Thai BBQ Banthat Thong,0,Bar & Alcoholic Drinks,7.9364552,-2.4958506,1.0,1
Tikishi Paradise Park,0,Bar & Alcoholic Drinks,6.9687347,2.4604387,1.0,1
Tikishi Suksawat,0,Bar & Alcoholic Drinks,6.2596416,-1.1210469,1.0,1
Time's Dining Ari Hills,0,Bar & Alcoholic Drinks,7.4305615,-2.6011624,1.0,1
Tokyo Kushiyaki lzakaya & Bar,0,Bar & Alcoholic Drinks,3.0068622,-2.6900163,1.0,1
Tomo Izakaya,0,Bar & Alcoholic Drinks,5.987154,-1.2456856,1.0,1
Tora-San At CentrePoint Orchard,0,Bar & Alcoholic Drinks,6.265541,-1.4006693,1.0,1
Tsu Japanese Restaurant at JW Marriott Hotel Bangkok,0,Bar & Alcoholic Drinks,5.393406,-1.360937,1.0,1
Tsubohachi Beehive,0,Bar & Alcoholic Drinks,6.030832,-1.9332962,1.0,1
Tsubohachi Central Westgate,0,Bar & Alcoholic Drinks,7.10618,-0.6877803,1.0,1
Tsubohachi Cosmo Bazaar,0,Bar & Alcoholic Drinks,7.0422125,-2.0985997,1.0,1
Tsubohachi Robinson Ratchaphruek,0,Bar & Alcoholic Drinks,6.0602274,-1.9960474,1.0,1
Tsubohachi The Promenade,0,Bar & Alcoholic Drinks,5.9305463,-1.2491488,1.0,1
Tsubohachi Zpell Future Park,0,Bar & Alcoholic Drinks,6.725724,-1.7901042,1.0,1
Tsuru Saru イザカヤ,0,Bar & Alcoholic Drinks,7.004653,-2.1149855,1.0,1
Waa Cow! Vivocity,0,Bar & Alcoholic Drinks,6.2875233,-1.0086063,1.0,1
Wagyu Volcano,0,Bar & Alcoholic Drinks,6.1696687,2.5218985,1.0,1
Wagyu Yakiniku Ken,0,Bar & Alcoholic Drinks,5.868235,-2.0554929,1.0,1
Washo Japanese Restaurant,0,Bar & Alcoholic Drinks,7.1613708,-2.136444,1.0,1
YANKII- Robatayaki & Bar,0,Bar & Alcoholic Drinks,-2.813397,-0.16683686,1.0,1
YAWA Modern Japanese Cuisine,0,Bar & Alcoholic Drinks,6.4516573,-3.0506127,1.0,1
Yakiniku En,0,Bar & Alcoholic Drinks,7.6263623,-2.3625047,1.0,1
Yakiniku Tan & Shabushabu,0,Bar & Alcoholic Drinks,6.4911804,0.45607105,1.0,1
Yamazato at The Okura Prestige Bangkok,0,Bar & Alcoholic Drinks,8.398119,-1.1937525,1.0,1
Yoki Niku よきにく (Chonburi),0,Bar & Alcoholic Drinks,7.021918,-2.3121307,1.0,1
You&I Premium Suki Buffet Central Westgate,0,Bar & Alcoholic Drinks,6.6565657,0.10448905,1.0,1
You&I Premium Suki Buffet Mega Bangna,0,Bar & Alcoholic Drinks,6.8422885,0.5949708,1.0,1
You&I Premium Suki Buffet Siam Center,0,Bar & Alcoholic Drinks,7.64434,-1.1466174,1.0,1
You&I Premium Suki Buffet The Crystal Ratchapruek,0,Bar & Alcoholic Drinks,5.980558,-1.5362933,1.0,1
You&I Premium Suki Buffet The Mall Bangkae,0,Bar & Alcoholic Drinks,5.6816864,-0.3592354,1.0,1
You&I Premium Suki Buffet The Nine Center,0,Bar & Alcoholic Drinks,6.7450337,0.07444857,1.0,1
Yuki Wagyu Shabu Izakaya,0,Bar & Alcoholic Drinks,8.207961,-1.2914748,1.0,1
