input_string,found,official_name,city,country,formatted_address,rating,website,error
Nozomi at Millenia Walk,True,Nozomi Millenia Walk,Singapore,Singapore,"9 Raffles Blvd, #01-40 Millenia Walk, Singapore 039596",4.3,https://nozomi.sg/,
Nozomi at The Star Vista,True,Nozomi Star Vista,Singapore,Singapore,"1 Vista Exchange Grn, #02-20 The Star Vista, Singapore 138617",4.5,https://nozomi.sg/,
Sri Thai Restaurant Chaengwattana Laksi,True,Sriwangying Culinary school - โรงเรียนสอนทำอาหารศรีวังหญิง,,Thailand,"1/025 Muang Thong Village 1, Chaengwattana Road 14, Thung Song Hong Subdistrict, Khwaeng Thung Song Hong, Khet Lak Si, Krung Thep Maha Nakhon 10210, Thailand",4.9,https://www.sriwangying.com/,
Tea Lounge at Conrad Singapore Orchard,True,Tea Lounge,Singapore,Singapore,"1 Cuscaden Rd, Lobby Level, Singapore 249715",4.4,https://www.hilton.com/en/hotels/sinodci-conrad-singapore-orchard/dining/tea-lounge/,
Yelo Osha,True,Yelo Osha เยลโล่ โอชา,,Thailand,"194 Charoen Mueang Rd, Khwaeng Rong Muang, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.9,https://linktr.ee/yeloosha,
KIN Steak,True,KIN Steak,,Thailand,"ซ. สาธุประดิษฐ์ 34 แยก 5 บางโพงพาง, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",5.0,,
CROW Craft & Cuisine ,True,CROW Craft & Cuisine,,Thailand,"86 Thanon Inthrawat, Khwaeng Bang Ramat, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",4.9,https://www.facebook.com/profile.php?id=61567360037006,
Thirteen BBQ Bar 十三烤吧,True,Thirteen BBQ Bar 十三烤吧,Singapore,Singapore,"27 Lor 13 Geylang, Singapore 388670",4.8,https://thirteenbbqbar.sg/,
Uncle Leong Signatures (Hougang Ave),True,Uncle Leong Signatures (Hougang),Singapore,Singapore,"309 Hougang Ave 5, Singapore 530309",3.2,http://www.uncleleongsignatures.com/,
Nami Korean Grill House,True,Nami Korean Grill House by Hanjip,Singapore,Singapore,"18 Greenwood Ave, Singapore 289212",4.8,https://namibyhanjip.sg/,
Uncle Leong Signatures (Fairprice Hub),True,Uncle Leong Signatures,Singapore,Singapore,"1 Joo Koon Cir, #03-26, Singapore 629117",3.9,http://www.uncleleongsignatures.com/,
Home Dawn Cafe ,True,Home Dawn Cafe @ Clarke Quay,Singapore,Singapore,"Blk 3A River Valley Rd, #02-03, Singapore 179020",4.5,http://www.homesingapore.sg/,
Hanjip Korean Grill House,True,Hanjip Korean Grill House,Singapore,Singapore,"3C River Valley Rd, #01 - 11 Clarke Quay, Singapore 179022",4.8,http://hanjip.sg/,
Kapitan Bar & Restaurant ,True,Kapitan Restaurant | Authentic Slavic Cuisine - Maxwell Chambers,Singapore,Singapore,"32 Maxwell Rd, #01-05 Maxwell Chambers, Singapore 069115",4.3,https://www.kapitanbar.com/,
Kan Sushi | Izakaya & Sake Bar (Tanjong Pagar),True,Kan Sushi | Izakaya & Sake Bar (Tanjong Pagar),Singapore,Singapore,"10 Anson Rd, #02-54, Singapore 079903",4.4,https://kansushi.group/,
Xi An Yiam  Banthat Thong,False,,,,,,,No results found
"Hmmmm, Grilled Pork Udomsuk",True,หื้มมม… หมูกระทะ สาขาอุดมสุขวอล์ค,,Thailand,"653 Thanon Udom Suk, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",4.9,,
Kan Sushi Omakase & Sake bar (Robertson Quay),True,Kan Sushi Omakase & Sake bar(寛寿司),Singapore,Singapore,"30 Robertson Quay, #01-04, Singapore 238251",4.5,https://kansushi.group/,
Jim​ Sa​ Jui​ Station (Ayutthaya),True,Jim​ Sa​ Jui​ Station​ : จิมซาจุ่ย สเตชั่น : Hong Kong Cafe,Tambon Phu Khao Thong,Thailand,"47 Tambon Phu Khao Thong, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand",4.6,,
Xi An Yiam New Petchaburi,True,Xi An Yiam,,Thailand,"3390 New, บางกะปิ, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",4.3,,
AKATO BKK,True,Akato BKK,,Thailand,"81/1-2 Thanon Arun Amarin, Khwaeng Arun Amarin, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",4.7,http://facebook.com/AkatoBkk,
Huaron Mookrata ,True,Aroy Mak Mookata Thai BBQ Steamboat,Singapore,Singapore,"534 MacPherson Rd, Singapore 368220",4.0,,
Realpork Korean Pub & Grill Groove at Central World,True,Realpork Korean BBQ & Pub (Groove at centralwOrld),,Thailand,"PGWQ+49R, Unit 218, Groove, Level 2, centralwOrld Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.9,https://www.facebook.com/realporkthailand,
Pizza Maru Korean Pizza & Chicken Central World,True,Pizza Maru Korean Pizza & Chicken (Central World),,Thailand,"ชั้นที่ 7 เซ็นทรัลเวิลด์ 999/9 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.8,https://lin.ee/CxE1YW7,
Pizza Maru Korean Pizza & Chicken Future Park Rangsit,True,Pizzamaru Korean Pizza & Chicken (Future Park Rangsit),กรุงเทพมหานคร,Thailand,"ที่อยู่ 94 อาคาร, ห้องเลขที่ PLZ.2.SHP067, Future Park & Zpell, ชั้น 2, ถ. พหลโยธิน กรุงเทพมหานคร อำเภอธัญบุรี ปทุมธานี 12130, Thailand",4.8,,
Riedel Restaurant & Wine Cellar ,True,Riedel Restaurant & Wine Cellar,,Thailand,"2nd Floor, Gaysorn Village, 999 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://www.riedelrestaurantbkk.com/,
Tsubohachi Central Westgate,True,"Tsubohachi, Central Westgate",ตำบล เสาธงหิน,Thailand,"Central Westgate, Ground Floor, No.199, 199/1, 199/2, Room G28, ตำบล เสาธงหิน อำเภอบางใหญ่ นนทบุรี 11140, Thailand",4.3,https://www.tsubohachi-tha.com/,
Nippon Yokocho ,True,Nippon Yokocho (นิปปอน โยโคโจว),อำเภอปากเกร็ด,Thailand,"1st Floor, Food Atrium, IMPACT Challenger Hall, 3 ถนน ถนนป๊อปปูล่า 1 Banmai, อำเภอปากเกร็ด นนทบุรี 11120, Thailand",4.1,https://www.facebook.com/Nipponyokochoth,
Tsubohachi Beehive,True,"Tsubohachi, BEEHIVE Lifestyle Mall",Amphoe Pak Kret,Thailand,"BEEHIVE Lifestyle Mall, 50/1211 (D101-D103 Popular Rd, Tambon Bang Phut, Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand",4.3,http://www.tsubohachi-tha.com/index.php/en/,
Tsubohachi The Promenade,True,"Tsubohachi, The Promenade",,Thailand,"The Promenade, 3rd Floor, Ramindra Rd, Ramindra, เขตคันนายาว กรุงเทพมหานคร 10230, Thailand",4.4,http://www.tsubohachi-tha.com/index.php/th/,
Tsubohachi Zpell Future Park,True,Tsubohachi Zpell @ Future Park,อำเภอธัญบุรี,Thailand,"Future Park Rangsit, 2nd Floor, No. 94, ถ. พหลโยธิน ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130, Thailand",4.5,http://www.tsubohachi-tha.com/index.php/th/,
Tsubohachi Cosmo Bazaar,True,"Tsubohachi, Cosmo Bazaar",อำเภอปากเกร็ด,Thailand,"Cosmo Bazaar, L1-14, L1, 15 ถ. ป๊อปปูล่า ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี 11120, Thailand",4.0,http://www.tsubohachi-tha.com/,
Tsubohachi Robinson Ratchaphruek,True,"Tsubohachi, Robinson Lifestyle Ratchaphruek",ตำบล คลองข่อย,Thailand,"No. 19/11 Moo, 4 Room 105, Fl, RRP-1F, ถนน ราชพฤกษ์ ตำบล คลองข่อย อำเภอปากเกร็ด นนทบุรี 11120, Thailand",4.6,https://www.tsubohachi-tha.com/,
Synthesis 食拿酒稳 Chinese Cuisine ,True,Synthesis 食拿酒稳: Traditional Chinese Medical Hall Inspired Restaurant & Cocktail Bar (Suntec City),Singapore,Singapore,"3 Temasek Blvd, Tower 4 #01-643, Singapore 038983",4.7,https://www.synthesis.sg/,
Taisho-Tei,True,Taisho-Tei (ไทโชเต),อำเภอปากเกร็ด,Thailand,"IMPACT Challenger, Building, 1st Floor, Taisho-Tei Ramen, ถนน ถนนป๊อปปูล่า 1 Banmai, อำเภอปากเกร็ด นนทบุรี 11120, Thailand",3.7,https://www.facebook.com/TaishoteiRamen/,
Les Bouchons at Ann siang,True,Les Bouchons @ Ann Siang,Singapore,Singapore,"7 Ann Siang Rd, Singapore 069689",4.5,http://www.lesbouchons.sg/,
Les Bouchons at Robertson Quay,True,Les Bouchons Robertson Quay,Singapore,Singapore,"60 Robertson Quay, #01-02, Singapore 238252",4.6,http://www.lesbouchons.sg/,
Les Bouchons at Rochester,True,Les Bouchons Rochester,Singapore,Singapore,"10 Rochester Park, Rochester Commons, Singapore 139221",4.6,http://www.lesbouchons.sg/,
